longitude;latitude;housing_median_age;total_rooms;total_bedrooms;population;households;median_income;median_house_value
-0.56777793;0.029344847;1.0082089;-0.79758376;-0.9721673;-0.97595423;-0.9789465;2.9603806;452600.0
-0.5657189;0.029139083;-0.5920799;2.0534778;1.3407933;0.83766377;1.6615938;2.9452236;358500.0
-0.5698354;0.029036181;1.8883677;-0.52847725;-0.8277552;-0.82416517;-0.8458758;2.2803533;352100.0
-0.57189447;0.029036181;1.8883677;-0.61695695;-0.72122175;-0.7700794;-0.73628813;1.2522883;341300.0
-0.57189447;0.029036181;1.8883677;-0.4551263;-0.6146882;-0.76397294;-0.6319189;0.10793507;342200.0
-0.57189447;0.029036181;1.8883677;-0.77970445;-0.77330476;-0.89657027;-0.8041281;0.22931838;269700.0
-0.57189447;0.028933316;1.8883677;-0.038859367;-0.11989931;-0.30249915;0.033434607;-0.011219283;299200.0
-0.57189447;0.028933316;1.8883677;0.22199512;0.34884807;-0.24754104;0.38046214;-0.35454452;241400.0
-0.5739535;0.028933316;1.0882233;-0.029690493;0.29676503;-0.20479581;0.24478221;-1.0166123;226700.0
-0.57189447;0.028933316;1.8883677;0.42600256;0.3961963;0.09616534;0.5552805;0.009223536;261100.0
-0.5739535;0.029036181;1.8883677;-0.19152114;-0.25010693;-0.46301177;-0.2587991;-0.30162233;281500.0
-0.5739535;0.029036181;1.8883677;0.40491417;0.5027298;0.055164825;0.6074651;-0.25869876;241800.0
-0.5739535;0.029036181;1.8883677;-0.05903089;-0.15541048;-0.29900974;-0.086589955;-0.3832026;213500.0
-0.5739535;0.028933316;1.8883677;-0.8819374;-0.8253878;-0.9558902;-0.8537035;-0.6388337;191300.0
-0.5739535;0.029036181;1.8883677;0.010652555;0.204436;-0.1995617;0.31001294;-1.1208645;159200.0
-0.5739535;0.029036181;1.7283388;-0.6875573;-0.60758597;-0.64882255;-0.61887276;-0.9882089;140000.0
-0.576011;0.029036181;1.8883677;-0.29971385;-0.45607167;-0.5650768;-0.4440544;-0.5742572;152500.0
-0.576011;0.029036181;1.8883677;-0.6380453;-0.5839119;-0.6915678;-0.5171128;-0.99126583;155500.0
-0.5739535;0.028933316;1.7283388;-0.17455871;-0.2003913;-0.39322367;-0.2144422;-1.073483;158700.0
-0.576011;0.028933316;1.8883677;-0.5119733;-0.57207483;-0.65492904;-0.5901712;-0.6836041;162900.0
-0.576011;0.029036181;0.92819446;-0.856723;-0.84195966;-0.9000597;-0.8745773;-1.4767992;147500.0
-0.576011;0.029036181;1.0882233;-0.44962496;-0.40872347;-0.4464371;-0.35273135;-1.2502722;159800.0
